[2465053] [Thread ID : 10340] [Enqueue] [LogicTime : 1] [LocalNodeAddr : 0x6a7d818a0cedfb40] [LocalNewNodeAddr : 0x6a7d818a0cedf8d0] [RealNodeAddr : 0x0000000000000000]
[2465054] [Thread ID : 10340] [Enqueue] [LogicTime : 2] [LocalNodeAddr : 0x6a7d818a0cedfb40] [LocalNewNodeAddr : 0x6a7d818a0cedf8d0] [RealNodeAddr : 0x6a7d818a0cedfb40]
[2465055] [Thread ID : 06988] [Enqueue] [LogicTime : 0] [LocalNodeAddr : 0x6a7d818a0cedf8d0] [LocalNewNodeAddr : 0x0000000000000000] [RealNodeAddr : 0x0000018a0cedf8d0]
[2465056] [Thread ID : 06988] [Enqueue] [LogicTime : 1] [LocalNodeAddr : 0x6a7d818a0cedf8d0] [LocalNewNodeAddr : 0x6a7e018a0cedfc30] [RealNodeAddr : 0x0000000000000000]
[2465057] [Thread ID : 06988] [Enqueue] [LogicTime : 2] [LocalNodeAddr : 0x6a7d818a0cedf8d0] [LocalNewNodeAddr : 0x6a7e018a0cedfc30] [RealNodeAddr : 0x6a7d818a0cedf8d0]
[2465058] [Thread ID : 06988] [Dequeue] [LogicTime : 0] [LocalNodeAddr : 0x6a7c818a0cedfbd0] [LocalNewNodeAddr : 0x6a7e818a0cedfb40] [RealNodeAddr : 0x0000018a0cedfbd0]
[2465059] [Thread ID : 06988] [Dequeue] [LogicTime : 1] [LocalNodeAddr : 0x6a7c818a0cedfbd0] [LocalNewNodeAddr : 0x6a7e818a0cedfb40] [RealNodeAddr : 0x0000018a0cedfbd0]
[2465060] [Thread ID : 06988] [Dequeue] [LogicTime : 0] [LocalNodeAddr : 0x6a7e818a0cedfb40] [LocalNewNodeAddr : 0x6a7f018a0cedf8d0] [RealNodeAddr : 0x0000018a0cedfb40]
[2465061] [Thread ID : 06988] [Dequeue] [LogicTime : 1] [LocalNodeAddr : 0x6a7e818a0cedfb40] [LocalNewNodeAddr : 0x6a7f018a0cedf8d0] [RealNodeAddr : 0x0000018a0cedfb40]
[2465062] [Thread ID : 06988] [Enqueue] [LogicTime : 0] [LocalNodeAddr : 0x6a7e018a0cedfc30] [LocalNewNodeAddr : 0x0000000000000000] [RealNodeAddr : 0x0000018a0cedfc30]
